Frame,EgoScore,EgoDX_BEV,EgoDY_BEV
2,118.1637,0.1451,-4.7243
3,146.8766,0.3095,-7.0168
4,154.0913,0.2586,-6.7359
5,140.1072,0.0166,-3.9262
6,113.8341,-0.2628,-0.2306
7,105.1753,-0.5202,2.42
8,103.0172,-0.6785,3.5383
9,102.0655,-0.7455,3.7426
10,94.2553,-0.6401,1.098
11,86.393,-0.5386,-0.3176
12,81.0708,-0.5174,-0.9865
13,77.9344,-0.5342,-1.6532
14,74.8174,-0.6013,-1.3705
15,71.1592,-0.4901,-0.8069
16,67.9158,-0.7801,0.4495
17,65.6356,-0.7876,0.9801
18,63.9066,-0.7404,1.2463
19,62.2323,-0.8478,1.0516
20,61.3998,-0.8612,1.6447
21,59.3797,-0.5973,0.5905
22,57.8527,-0.5024,0.9701
23,57.0175,-0.6099,1.4566
24,55.718,-0.5638,0.9272
25,54.233,-0.6096,0.5229
26,52.4322,-0.243,-0.277
27,51.0566,-0.5721,-0.3423
28,50.7268,-0.3424,-1.651
29,50.6733,-0.364,-1.9352
30,50.6717,-0.8268,-1.8485
31,51.0998,0.066,-2.5397
32,50.8499,0.0692,-4.4262
33,49.4154,0.1466,-5.3002
34,47.7358,0.3891,-4.7092
35,47.0573,0.3444,-3.0928
36,50.312,-0.7909,-4.1812
37,48.5585,-0.2023,0.311
38,46.9339,0.1738,1.6441
39,46.1322,0.4662,2.8158
40,47.8611,0.3872,3.3231
41,50.7319,0.2647,4.0616
42,53.0044,0.0291,3.8408
43,54.5395,0.1609,3.5759
44,54.1549,0.357,0.9715
45,55.6488,0.6847,-2.6498
46,60.5947,1.0473,-6.7547
47,66.587,1.2949,-8.3483
48,71.8949,0.8805,-7.7693
49,76.6115,1.2311,-6.9018
50,77.7901,1.1387,-3.0662
51,78.0285,0.6771,0.8997
52,79.565,0.8089,2.8228
53,82.1606,0.3801,4.6784
54,84.3479,0.2863,3.6989
55,85.6422,0.3996,2.3221
56,86.4152,0.4937,1.1984
57,87.4761,0.401,1.8979
58,88.4692,0.2257,2.8689
59,90.63,-0.078,4.5615
60,92.9006,0.1068,4.7485
61,93.379,-0.0732,3.1137
62,89.9334,0.0403,-0.2893
63,88.5327,0.321,-3.6071
64,90.1271,0.6036,-6.6111
65,93.8492,0.7222,-7.544
66,96.2244,0.6291,-7.0776
67,100.2109,0.4637,-5.134
68,101.1577,0.2019,-2.7821
69,98.908,0.1173,0.1007
70,98.2537,-0.0055,2.5604
71,97.9914,0.0031,3.7556
72,98.6625,-0.0485,4.6458
73,98.4512,-0.0801,3.3251
74,100.0003,-0.3347,2.8745
75,99.4879,-0.0588,2.1211
76,95.625,-0.1837,2.1923
77,89.6673,-0.0891,1.2958
78,85.0714,-0.0718,2.3028
79,79.9363,0.0538,0.8469
